id,outcode,lat,lng
464,CF83,51.584521,-3.205508
465,CF91,51.465745,-3.193634
466,CF95,51.481196,-3.171039
467,CF99,51.464366,-3.161654
468,CH1,53.225184,-2.937352
469,CH2,53.235007,-2.855122
470,CH25,53.396972,-3.011914
471,CH26,53.365697,-3.065921
472,CH27,53.418339,-3.033129
473,CH28,53.400433,-3.111956
474,CH29,53.390338,-3.179391
475,CH3,53.152085,-2.799526
476,CH30,53.379056,-3.098456
477,CH31,53.329738,-3.098885
478,CH32,53.361945,-2.99765
479,CH33,53.29055,-3.062639
480,CH34,53.281708,-2.908126
481,CH4,53.161163,-2.95939
482,CH41,53.394107,-3.091767
483,CH42,53.374,-3.021
484,CH43,53.383,-3.058
485,CH44,53.415,-3.036
486,CH45,53.428,-3.05
487,CH46,53.404274,-3.109675
488,CH47,53.395319,-3.168938
489,CH48,53.370166,-3.17631
490,CH49,53.381,-3.103
491,CH5,53.204,-3.041
492,CH6,53.251549,-3.142813
493,CH60,53.323399,-3.099473
494,CH61,53.347433,-3.106494
495,CH62,53.336365,-2.976732
496,CH63,53.339399,-3.021777
497,CH64,53.288,-3.047
498,CH65,53.285224,-2.90533
499,CH66,53.278807,-2.948761
500,CH7,53.169,-3.133
501,CH70,53.192746,-2.92259
502,CH8,53.281,-3.241
503,CH88,53.179571,-2.893891
504,CH99,53.178328,-2.894104
505,CM0,51.68025,0.842547
506,CM1,51.756745,0.426735
507,CM11,51.619913,0.461591
508,CM12,51.618231,0.407296
509,CM13,51.609196,0.334102
510,CM14,51.637039,0.264254
511,CM15,51.650137,0.312163
512,CM16,51.703168,0.124299
513,CM17,51.767718,0.167636
514,CM18,51.753245,0.106598
515,CM19,51.759866,0.054801
516,CM2,51.711329,0.497149
517,CM20,51.783598,0.103772
518,CM21,51.819851,0.13435
519,CM22,51.873244,0.226269
520,CM23,51.88921,0.16068
521,CM24,51.892387,0.221296
522,CM3,51.72956,0.583012
523,CM4,51.684023,0.379196
524,CM5,51.725365,0.26095
525,CM6,51.873082,0.369539
526,CM7,51.935816,0.490817
527,CM77,51.872499,0.561253
528,CM8,51.81097,0.630306
529,CM9,51.739208,0.726883
530,CM99,51.735856,0.473009
531,CO1,51.888418,0.911281
532,CO10,52.019778,0.698861
533,CO11,51.937062,1.090068
534,CO12,51.920005,1.204421
535,CO13,51.84923,1.22847
536,CO14,51.85396,1.26742
537,CO15,51.794028,1.152117
538,CO16,51.836693,1.110526
539,CO2,51.85441,0.861843
540,CO3,51.886411,0.853792
541,CO4,51.925263,0.913666
542,CO5,51.8268,0.825379
543,CO6,51.955097,0.793075
544,CO7,51.921308,1.010534
545,CO8,51.972092,0.766653
546,CO9,51.977796,0.5887
547,CR0,51.362751,-0.071633
548,CR2,51.345684,-0.075887
549,CR3,51.289343,-0.070594
550,CR4,51.400683,-0.158003
551,CR5,51.304967,-0.150067
552,CR6,51.308,-0.052
553,CR7,51.39484,-0.108912
554,CR8,51.324034,-0.115223
555,CR9,51.363378,-0.070179
556,CT1,51.278952,1.079734
557,CT10,51.367125,1.420852
558,CT11,51.337221,1.410257
559,CT12,51.337047,1.340266
560,CT13,51.267,1.33
561,CT14,51.216,1.387
562,CT15,51.171,1.284
563,CT16,51.14,1.302
564,CT17,51.130638,1.292967
565,CT18,51.116864,1.141256
566,CT19,51.089394,1.16442
567,CT2,51.297463,1.06317
568,CT20,51.079,1.166
569,CT21,51.073,1.078
570,CT3,51.278,1.212
571,CT4,51.216168,1.050547
572,CT5,51.345013,1.021784
573,CT50,51.075701,1.149115
574,CT6,51.35528,1.139413
575,CT7,51.360025,1.307216
576,CT8,51.38,1.341
577,CT9,51.375084,1.388641
578,CV1,52.410338,-1.509154
579,CV10,52.526926,-1.519597
580,CV11,52.517526,-1.43076
581,CV12,52.480709,-1.458551
582,CV13,52.597673,-1.416553
583,CV2,52.432344,-1.446061
584,CV21,52.347041,-1.366452
585,CV22,52.355809,-1.268748
586,CV23,52.365233,-1.298814
587,CV3,52.388827,-1.475226
588,CV31,52.269384,-1.511554
589,CV32,52.305753,-1.524064
590,CV33,52.262406,-1.49152
591,CV34,52.277188,-1.573354
592,CV35,52.212099,-1.578232
593,CV36,52.084183,-1.62625
594,CV37,52.180784,-1.708463
595,CV4,52.390339,-1.56066
596,CV47,52.2253,-1.358965
597,CV5,52.424186,-1.562449
598,CV6,52.439743,-1.507503
599,CV7,52.446239,-1.514981
600,CV8,52.3605,-1.525645
601,CV9,52.601777,-1.57812
602,CW1,53.112178,-2.416255
603,CW10,53.187691,-2.449316
604,CW11,53.146503,-2.354374
605,CW12,53.170861,-2.224969
606,CW2,53.081,-2.446
607,CW3,53,-2.406
608,CW4,53.208429,-2.31601
609,CW5,53.062,-2.521
610,CW6,53.162,-2.666
611,CW7,53.173027,-2.541495
612,CW8,53.248782,-2.5933
613,CW9,53.277959,-2.498544
614,CW98,53.089331,-2.431667
615,DA1,51.446531,0.206018
616,DA10,51.444,0.308
617,DA11,51.436357,0.344804
618,DA12,51.414621,0.407866
619,DA13,51.383815,0.346476
620,DA14,51.424324,0.118534
621,DA15,51.441422,0.101025
622,DA16,51.465047,0.106971
623,DA17,51.487,0.149
624,DA18,51.487302,0.161395
625,DA2,51.430654,0.229322
626,DA3,51.380714,0.297088
627,DA4,51.391,0.233
628,DA5,51.436119,0.14644
629,DA6,51.45581,0.142867
630,DA7,51.467628,0.149559
631,DA8,51.479398,0.179717
632,DA9,51.44638,0.281677
633,DD1,56.460856,-2.9588
634,DD10,56.747,-2.427
635,DD11,56.602729,-2.658503
636,DD2,56.47,-3.027
637,DD3,56.502379,-3.038736
638,DD4,56.510804,-2.949705
639,DD5,56.478,-2.862
640,DD6,56.437,-2.925
641,DD7,56.503,-2.718
642,DD8,56.656,-2.922
643,DD9,56.748,-2.667
644,DE1,52.903346,-1.511342
645,DE11,52.77274,-1.542241
646,DE12,52.723163,-1.578536
647,DE13,52.788188,-1.723433
648,DE14,52.800485,-1.6229
649,DE15,52.797609,-1.588707
650,DE21,52.951351,-1.431864
651,DE22,52.946825,-1.511562
652,DE23,52.89835,-1.502785
653,DE24,52.89,-1.451
654,DE3,52.906961,-1.521844
655,DE4,53.142536,-1.592009
656,DE45,53.215,-1.676
657,DE5,53.048196,-1.405241
658,DE55,53.101,-1.371
659,DE56,53.022,-1.474
660,DE6,52.968585,-1.688596
661,DE65,52.867,-1.61
662,DE7,52.970977,-1.352887
663,DE72,52.894,-1.359
664,DE73,52.852247,-1.448961
665,DE74,52.844,-1.33
666,DE75,53.012576,-1.350302
667,DE99,52.915455,-1.46108
668,DG1,55.073,-3.58
669,DG10,55.32,-3.437
670,DG11,55.114,-3.336
671,DG12,54.99,-3.251
672,DG13,55.173,-3.029
673,DG14,55.081,-2.985
674,DG16,54.997,-3.068
675,DG2,55.065,-3.657
676,DG3,55.237,-3.799
677,DG4,55.375,-3.952
678,DG5,54.922,-3.81
679,DG6,54.837,-4.055
680,DG7,54.968,-4.012
681,DG8,54.915247,-4.609151
682,DG9,54.878,-5.021
683,DH1,54.777922,-1.55439
684,DH2,54.86,-1.597
685,DH3,54.867821,-1.551909
686,DH4,54.845395,-1.489553
687,DH5,54.825344,-1.462171
688,DH6,54.753,-1.464
689,DH7,54.784989,-1.669494
690,DH8,54.856,-1.844
691,DH9,54.84862,-1.664176
692,DH97,54.779259,-1.578053
693,DH98,54.934641,-1.615103
